Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7450043440486533,0.7379591836734694,0.7726495726495727,0.7549060542797494,0.8173844752834742
Random Forest,0.7413119026933102,0.72567762210292,0.7894586894586895,0.7562256942075459,0.8161576674753942
